,abstract,original title,best title,generated title before RL,generated title after RL
80,"This paper presents an approach for Multilingual Document Clustering in comparable corpora. The algorithm is of heuristic nature and it uses as unique evidence for clustering the identification of cognate named entities between both sides of the comparable corpora. One of the main advantages of this approach is that it does not depend on bilingual or multilingual resources. However, it depends on the possibility of identifying cognate named entities between the languages used in the corpus. An additional advantage of the approach is that it does not need any information about the right number of clusters; the algorithm calculates it. We have tested this approach with a comparable corpus of news written in English and Spanish. In addition, we have compared the results with a system which translates selected document features. The obtained results are encouraging.",Multilingual Document Clustering: An Heuristic Approach Based on Cognate Named Entities,Multilingual Document Clustering in Comparable Corpora using Cognate Named Entities,Multilingual Document Clustering in Comparable Corpora,Multilingual Document Clustering in Comparable Corpora
81,"We examine the task of temporal relation classification. Unlike existing approaches to this task, we (1) classify an event-event or eventtime pair as one of the 14 temporal relations defined in the TimeBank corpus, rather than as one of the six relations collapsed from the original 14; (2) employ sophisticated linguistic knowledge derived from a variety of semantic and discourse relations, rather than focusing on morpho-syntactic knowledge; and (3) leverage a novel combination of rule-based and learning-based approaches, rather than relying solely on one or the other. Experiments with the TimeBank corpus demonstrate that our knowledge-rich, hybrid approach yields a 15–16% relative reduction in error over a state-of-the-art learning-based baseline system.",Classifying Temporal Relations with Rich Linguistic Knowledge,Classifying Temporal Relations with Rich Linguistic Knowledge,A Knowledge-Rich Hybrid Approach to Temporal Relation Classification,Knowledge-Rich Temporal Relation Classification
82,"Syntactic analysis of search queries is important for a variety of information-retrieval tasks; however, the lack of annotated data makes training query analysis models difficult. We propose a simple, efficient procedure in which part-of-speech tags are transferred from retrieval-result snippets to queries at training time. Unlike previous work, our final model does not require any additional resources at run-time. Compared to a state-ofthe-art approach, we achieve more than 20% relative error reduction. Additionally, we annotate a corpus of search queries with partof-speech tags, providing a resource for future work on syntactic query analysis.",Using Search-Logs to Improve Query Tagging,Part-of-Speech Tagging for Efficient Syntactic Query Analysis,Efficient Training of Syntactic Query Analysis Models with Part-of-Speech Tagging,Part-of-Speech Tagging for Efficient Syntactic Query Analysis
83,"We introduce a weakly supervised approach for inferring the property of abstractness of words and expressions in the complete absence of labeled data. Exploiting only minimal linguistic clues and the contextual usage of a concept as manifested in textual data, we train sufficiently powerful classifiers, obtaining high correlation with human labels. The results imply the applicability of this approach to additional properties of concepts, additional languages, and resource-scarce scenarios.",Learning Concept Abstractness Using Weak Supervision,Weakly Supervised Inference of Abstractness of Words and Expressions Without Labeled Data,Weakly Supervised Inference of Abstractness of Words and Expressions,Weakly Supervised Learning of Abstractness of Words and Expressions
84,"One major challenge in training Deep Neural Networks is preventing overfitting. Many techniques such as data augmentation and novel regularizers such as Dropout have been proposed to prevent overfitting without requiring a massive amount of training data. In this work, we propose a new regularizer called DeCov which leads to significantly reduced overfitting (as indicated by the difference between train and val performance), and better generalization. Our regularizer encourages diverse or non-redundant representations in Deep Neural Networks by minimizing the cross-covariance of hidden activations. This simple intuition has been explored in a number of past works but surprisingly has never been applied as a regularizer in supervised learning. Experiments across a range of datasets and network architectures show that this loss always reduces overfitting while almost always maintaining or increasing generalization performance and often improving performance over Dropout.",Reducing Overfitting in Deep Networks by Decorrelating Representations,DeCov: Reducing Overfitting in Deep Neural Networks by Minimizing Cross-Covariance,DeCov: DeCov Regularization for Deep Neural Networks,DeCov: A Cross-Covariance Regularizer for Deep Neural Networks
85,"The task of inferring the native language of an author based on texts written in a second language has generally been tackled as a classification problem, typically using as features a mix of n-grams over characters and part of speech tags (for small and fixed n) and unigram function words. To capture arbitrarily long n-grams that syntax-based approaches have suggested are useful, adaptor grammars have some promise. In this work we investigate their extension to identifying n-gram collocations of arbitrary length over a mix of PoS tags and words, using both maxent and induced syntactic language model approaches to classification. After presenting a new, simple baseline, we show that learned collocations used as features in a maxent model perform better still, but that the story is more mixed for the syntactic language model.",Exploring Adaptor Grammars for Native Language Identification,Learning Adaptor Grammars for Native Language Inference from Second Language Texts,Learning to identify n-gram collocations for native language inference,Learning N-gram Collocations for Native Language Detection
86,"In this paper, we explore the utility of intraand inter-sentential causal relations between terms or clauses as evidence for answering why-questions. To the best of our knowledge, this is the first work that uses both intraand inter-sentential causal relations for why-QA. We also propose a method for assessing the appropriateness of causal relations as answers to a given question using the semantic orientation of excitation proposed by Hashimoto et al. (2012). By applying these ideas to Japanese why-QA, we improved precision by 4.4% against all the questions in our test set over the current state-of-theart system for Japanese why-QA. In addition, unlike the state-of-the-art system, our system could achieve very high precision (83.2%) for 25% of all the questions in the test set by restricting its output to the confident answers only.",Why-Question Answering using Intra- and Inter-Sentential Causal Relations,Why-Question Answering using Intra- and Inter-Sentential Causal Relations,Using Causal Relations for Japanese Why-QA,Using Intra-and-Sentential Causal Relations for Japanese Why-Question Answering
87,"We propose a model for jointly predicting multiple emotions in natural language sentences. Our model is based on a low-rank coregionalisation approach, which combines a vector-valued Gaussian Process with a rich parameterisation scheme. We show that our approach is able to learn correlations and anti-correlations between emotions on a news headlines dataset. The proposed model outperforms both singletask baselines and other multi-task approaches.",Joint Emotion Analysis via Multi-task Gaussian Processes,A Low-Rank Co-Regionisation Approach for Joint Emotion Prediction,Learning Multiple Emotions in Natural Language Sentences with Low-Rank Coregionalisation,Learning Multiple Emotions in Natural Language Sentences with Low-Rank Coregionalisation
88,"This paper considers the subspace clustering problem where the data contains irrelevant or corrupted features. We propose a method termed “robust Dantzig selector” which can successfully identify the clustering structure even with the presence of irrelevant features. The idea is simple yet powerful: we replace the inner product by its robust counterpart, which is insensitive to the irrelevant features given an upper bound of the number of irrelevant features. We establish theoretical guarantees for the algorithm to identify the correct subspace, and demonstrate the effectiveness of the algorithm via numerical simulations. To the best of our knowledge, this is the first method developed to tackle subspace clustering with irrelevant features.",Subspace Clustering with Irrelevant Features via Robust Dantzig Selector, Robust Dantzig Subspace Clustering,Robust Dantzig Selector for Subspace Clustering with Irrelevant Features,Robust Dantzig Selector for Subspace Clustering with Irrelevant Features
89,"Contrary to most natural language processing research, which makes use of static datasets, humans learn language interactively, grounded in an environment. In this work we propose an interactive learning procedure called Mechanical Turker Descent (MTD) and use it to train agents to execute natural language commands grounded in a fantasy text adventure game. In MTD, Turkers compete to train better agents in the short term, and collaborate by sharing their agents’ skills in the long term. This results in a gamified, engaging experience for the Turkers and a better quality teaching signal for the agents compared to static datasets, as the Turkers naturally adapt the training data to the agent’s abilities.",Mastering the Dungeon: Grounded Language Learning by Mechanical Turker Descent,Mechanical Turker Descent: Learning Language Interactively from Text Adventure Games,Interactive Learning of Natural Language Agents with Mechanical Turker Descent,Interactive Learning of Natural Language Agents with Mechanical Turker Descent
90,"We initiate a study comparing effectiveness of the transformed spaces learned by recently proposed supervised, and semisupervised metric learning algorithms to those generated by previously proposed unsupervised dimensionality reduction methods (e.g., PCA). Through a variety of experiments on different realworld datasets, we find IDML-IT, a semisupervised metric learning algorithm to be the most effective.",Learning Better Data Representation Using Inference-Driven Metric Learning,IDML-IT: a Semi-Supervised Learning Algorithm,A Study on the Effectiveness of Metric Learning for Dimensionality Reduction,A Comparison of Metric Learning Algorithms for Unsupervised Dimensionality Reduction
91,"The purpose of this paper is to investigate infinity-sample properties of risk minimization based multi-category classification methods. These methods can be considered as natural extensions to binary large margin classification. We establish conditions that guarantee the infinity-sample consistency of classifiers obtained in the risk minimization framework. Examples are provided for two specific forms of the general formulation, which extend a number of known methods. Using these examples, we show that some risk minimization formulations can also be used to obtain conditional probability estimates for the underlying problem. Such conditional probability information will be useful for statistical inferencing tasks beyond classification.",An Infinity-sample Theory for Multi-category Large Margin Classification,Infinity-Sample Properties of Risk Minimization based Multi-Category Classification,Risk Minimization based Multi-category Classification: The Infinite Sample Properties of Risk Minimizations,Risk Minimization-Based Multi-category Classification with Infinite Sampling
92,"Distinguishing speculative statements from factual ones is important for most biomedical text mining applications. We introduce an approach which is based on solving two sub-problems to identify speculative sentence fragments. The first sub-problem is identifying the speculation keywords in the sentences and the second one is resolving their linguistic scopes. We formulate the first sub-problem as a supervised classification task, where we classify the potential keywords as real speculation keywords or not by using a diverse set of linguistic features that represent the contexts of the keywords. After detecting the actual speculation keywords, we use the syntactic structures of the sentences to determine their scopes.",Detecting Speculations and their Scopes in Scientific Text,Detecting Speculations and their Scopes in Scientific Text,Identifying Speculation in Biomedical Text Mining,Identifying Speculation in Biomedical Text Mining: A Two-Stage Approach
93,"Information-theoretic measures are among the most standard techniques for evaluation of clustering methods including word sense induction (WSI) systems. Such measures rely on sample-based estimates of the entropy. However, the standard maximum likelihood estimates of the entropy are heavily biased with the bias dependent on, among other things, the number of clusters and the sample size. This makes the measures unreliable and unfair when the number of clusters produced by different systems vary and the sample size is not exceedingly large. This corresponds exactly to the setting of WSI evaluation where a ground-truth cluster sense number arguably does not exist and the standard evaluation scenarios use a small number of instances of each word to compute the score. We describe more accurate entropy estimators and analyze their performance both in simulations and on evaluation of WSI systems.",Improved Estimation of Entropy for Evaluation of Word Sense Induction,Evaluating Word Sense Induction Systems Using Entropy Estimation,Evaluating Word Sense Induction Systems with Large Sample Size and High-Bias Entropy Estimation,Better Entropy Estimation for Word Sense Induction Evaluation
94,"It is usually assumed that the kind of noise existing in annotated data is random classification noise. Yet there is evidence that differences between annotators are not always random attention slips but could result from different biases towards the classification categories, at least for the harder-to-decide cases. Under an annotation generation model that takes this into account, there is a hazard that some of the training instances are actually hard cases with unreliable annotations. We show that these are relatively unproblematic for an algorithm operating under the 0-1 loss model, whereas for the commonly used voted perceptron algorithm, hard training cases could result in incorrect prediction on the uncontroversial cases at test time.",Learning with Annotation Noise,Hard Training Cases with Unreliable Annotation Generation,On the role of classification bias in annotating data,Hard Cases and Random Classifiers: Annotation Generation with Annotated Data
95,"This paper proposes a method for intrasentential subject zero anaphora resolution in Japanese. Our proposed method utilizes a Multi-column Convolutional Neural Network (MCNN) for predicting zero anaphoric relations. Motivated by Centering Theory and other previous works, we exploit as clues both the surface word sequence and the dependency tree of a target sentence in our MCNN. Even though the F-score of our method was lower than that of the state-of-the-art method, which achieved relatively high recall and low precision, our method achieved much higher precision (>0.8) in a wide range of recall levels. We believe such high precision is crucial for real-world NLP applications and thus our method is preferable to the state-of-the-art method.",Intra-Sentential Subject Zero Anaphora Resolution using Multi-Column Convolutional Neural Network,Intra-sentential Subject Zero Anaphora Resolution with Multi- Convolutional Neural Network,Japanese Zero Anaphora Resolution with Multi-Column Convolutional Neural Networks,Japanese Zero Anaphora Resolution with Multi-Column Convolutional Neural Networks
96,Traditional vector-based models use word co-occurrence counts from large corpora to represent lexical meaning. In this paper we present a novel approach for constructing semantic spaces that takes syntactic relations into account. We introduce a formalisation for this class of models and evaluate their adequacy on two modelling tasks: semantic priming and automatic discrimination of lexical relations.,Constructing Semantic Space Models from Parsed Corpora,Building Semantic Spaces with Syntactic and Semantic Priming: A Case Study in Vector-Based Learning of Lexical Meaning,Semantic Spaces with Syntactic Relations,Semantic Spaces with Syntactic Relations
97,"This paper proposes the use of Lexicalized Tree-Adjoining Grammar (LTAG) formalism as an important additional source of features for the Semantic Role Labeling (SRL) task. Using a set of one-vs-all Support Vector Machines (SVMs), we evaluate these LTAG-based features. Our experiments show that LTAG-based features can improve SRL accuracy significantly. When compared with the best known set of features that are used in state of the art SRL systems we obtain an improvement in F-score from 82.34% to 85.25%.",Experimental Evaluation of LTAG-Based Features for Semantic Role Labeling,Lexicalized Tree-Adjoining Grammar for Semantic Role Labeling,Using LTAG-based Features for Semantic Role Labeling,Using Lexicalized Tree-Adjoining Grammar for Semantic Role Labeling
98,"1 I n t r o d u c t i o n We present ALLiS, a learning system for identifying syntactic structures which uses theory refinement. When other learning techniques (symbolic or statistical) are widely used in Natural Language Learning, few applications use theory refinement (Abecker and Schmid, 1996), (Mooney, 1993). We would like to show that even a basic implementation of notions used in TR is enough to build an efficient machine learning system concerning the task of learning linguistic structures. ALLiS relies on the use of background knowledge and default values in order to build up an initial grammar and on the use of theory refinement in order to improve this grammar. This combination provides a good machine learning framework (efficient and fast) for Natural Language Learning. After presenting theory refinement (Section 2) and a general description of ALLiS (Section 3), we will show how each step of TR is applying in the specific case of learning linguistic structures (non-recursive phrases).",ALLiS: a Symbolic Learning System for Natural Language Learning,AlliS: A Machine Learning System for Syntactic Structures Using Theory Refinement,A Machine Learning System for Syntactic Structures Using Theory Refinement,A Machine Learning Framework for Syntactic Structures
99,"Neural network models, based on the attentional encoder-decoder model, have good capability in abstractive text summarization. However, these models are hard to be controlled in the process of generation, which leads to a lack of key information. We propose a guiding generation model that combines the extractive method and the abstractive method. Firstly, we obtain keywords from the text by a extractive model. Then, we introduce a Key Information Guide Network (KIGN), which encodes the keywords to the key information representation, to guide the process of generation. In addition, we use a prediction-guide mechanism, which can obtain the long-term value for future decoding, to further guide the summary generation. We evaluate our model on the CNN/Daily Mail dataset. The experimental results show that our model leads to significant improvements.",Guiding Generation for Abstractive Text Summarization Based on Key Information Guide Network,Guiding Generation in Abstractive Text Summarization with Key Information Guide Networks,Key Information Guide Network for Abstractive Text Summarization,Key Information Guide Network for Abstractive Text Summarization
100,"Previous work on grounded language learning did not fully capture the semantics underlying the correspondences between structured world state representations and texts, especially those between numerical values and lexical terms. In this paper, we attempt at learning explicit latent semantic annotations from paired structured tables and texts, establishing correspondences between various types of values and texts. We model the joint probability of data fields, texts, phrasal spans, and latent annotations with an adapted semi-hidden Markov model, and impose a soft statistical constraint to further improve the performance. As a by-product, we leverage the induced annotations to extract templates for language generation. Experimental results suggest the feasibility of the setting in this study, as well as the effectiveness of our proposed framework.",Learning Latent Semantic Annotations for Grounding Natural Language to Structured Data,Learning Latent Semantic Annotations for Grounding Natural Language to Structured Data,Grounded Language Learning with Latent Semantic Annotation,Grounded Language Learning with Latent Semantic Annotation
101,"Supervised and semi-supervised sense disambiguation methods will mis-tag the instances of a target word if the senses of these instances are not defined in sense inventories or there are no tagged instances for these senses in training data. Here we used a model order identification method to avoid the misclassification of the instances with undefined senses by discovering new senses from mixed data (tagged and untagged corpora). This algorithm tries to obtain a natural partition of the mixed data by maximizing a stability criterion defined on the classification result from an extended label propagation algorithm over all the possible values of the number of senses (or sense number, model order). Experimental results on SENSEVAL-3 data indicate that it outperforms SVM, a one-class partially supervised classification algorithm, and a clustering based model order identification algorithm when the tagged data is incomplete.",Partially Supervised Sense Disambiguation by Learning Sense Number from Tagged and Untagged Corpora,Supervised and Semi-Supervised Sense Disambiguation Using Model Order Identification,Model Order Identification for Sense Disambiguation,Model Order Identification for Sense Disambiguation
102,"Classification of temporal textual data sequences is a common task in various domains such as social media and the Web. In this paper we propose to use Hawkes Processes for classifying sequences of temporal textual data, which exploit both temporal and textual information. Our experiments on rumour stance classification on four Twitter datasets show the importance of using the temporal information of tweets along with the textual content.",Hawkes Processes for Continuous Time Sequence Classification: an Application to Rumour Stance Classification in Twitter,Using Hawkes Processes to Classify Temporal Textual Data Sequences for Twitter Rumour Stance Classification,Using Hawkes Processes for Temporal Textual Data Classification,Hawkes Processes for Temporal Textual Data Classification of Twitter Rumours
103,"Lexical embeddings can serve as useful representations for words for a variety of NLP tasks, but learning embeddings for phrases can be challenging. While separate embeddings are learned for each word, this is infeasible for every phrase. We construct phrase embeddings by learning how to compose word embeddings using features that capture phrase structure and context. We propose efficient unsupervised and task-specific learning objectives that scale our model to large datasets. We demonstrate improvements on both language modeling and several phrase semantic similarity tasks with various phrase lengths. We make the implementation of our model and the datasets available for general use.",Learning Composition Models for Phrase Embeddings,Learning Phrase Embeddings by Composing Word Representations for NLP,Learning to Construct Phrase Embeddings,Unsupervised Learning of Phrase Embeddings
104,"We investigate grounded sentence representations, where we train a sentence encoder to predict the image features of a given caption-i.e., we try to ""imagine"" how a sentence would be depicted visually-and use the resultant features as sentence representations. We examine the quality of the learned representations on a variety of standard sentence representation quality benchmarks, showing improved performance for grounded models over non-grounded ones. In addition, we thoroughly analyze the extent to which grounding contributes to improved performance, and show that the system also learns improved word embeddings.",Learning Visually Grounded Sentence Representations,Learning Visually Grounded Sentence Representations,Grounded Sentence Representations: A Case Study on Image Representations,Grounded Sentence Representations
105,"Currently, almost all of the statistical machine translation (SMT) models are trained with the parallel corpora in some specific domains. However, when it comes to a language pair or a different domain without any bilingual resources, the traditional SMT loses its power. Recently, some research works study the unsupervised SMT for inducing a simple word-based translation model from the monolingual corpora. It successfully bypasses the constraint of bitext for SMT and obtains a relatively promising result. In this paper, we take a step forward and propose a simple but effective method to induce a phrase-based model from the monolingual corpora given an automatically-induced translation lexicon or a manually-edited translation dictionary. We apply our method for the domain adaptation task and the extensive experiments show that our proposed method can substantially improve the translation quality.",Learning a Phrase-based Translation Model from Monolingual Data with Application to Domain Adaptation,Learning a Phrase-based Translation Model from Monolingual Data with Application to Domain Adaptation,Unsupervised Unfolding of Phrase-based Translation Model from Monolingual Corpora for Domain Adaptation,Unsupervised Unsupervised Machine Translation for Domain Adaptation
106,"Procedurally generating cohesive and interesting game environments is challenging and time-consuming. In order for the relationships between the game elements to be natural, common-sense has to be encoded into arrangement of the elements. In this work, we investigate a machine learning approach for world creation using content from the multiplayer text adventure game environment LIGHT (Urbanek et al. 2019). We introduce neural network based models to compositionally arrange locations, characters, and objects into a coherent whole. In addition to creating worlds based on existing elements, our models can generate new game content. Humans can also leverage our models to interactively aid in worldbuilding. We show that the game environments created with our approach are cohesive, diverse, and preferred by human evaluators compared to other machine learning based world construction algorithms.",Generating Interactive Worlds with Text,Generating Interactive Worlds with Text,Neural Worldbuilding with LIGHT,Neural World Construction with LIGHT
107,"Character-based neural machine translation (NMT) models alleviate out-ofvocabulary issues, learn morphology, and move us closer to completely end-toend translation systems. Unfortunately, they are also very brittle and easily falter when presented with noisy data. In this paper, we confront NMT models with synthetic and natural sources of noise. We find that state-of-the-art models fail to translate even moderately noisy texts that humans have no trouble comprehending. We explore two approaches to increase model robustness: structure-invariant word representations and robust training on noisy texts. We find that a model based on a character convolutional neural network is able to simultaneously learn representations robust to multiple kinds of noise.",Synthetic and Natural Noise Both Break Neural Machine Translation,Synthetic and Natural Noise Both Break Neural Machine Translation,Robust Character-Based Neural Machine Translation with Synthetic and Natural Sources of Noise,Robust Character-Based Neural Machine Translation with Synthetic and Natural Noisy Texts
108,"We show that for a general class of convex online learning problems, Mirror Descent can always achieve a (nearly) optimal regret guarantee.",On the Universality of Online Mirror Descent,On the Universality of Online Mirror Descent,Optimal Regret Guarantees for Mirror Descent,Optimal Regret Guarantee for Mirror Descent
109,"We introduce DropConnect, a generalization of Dropout (Hinton et al., 2012), for regularizing large fully-connected layers within neural networks. When training with Dropout, a randomly selected subset of activations are set to zero within each layer. DropConnect instead sets a randomly selected subset of weights within the network to zero. Each unit thus receives input from a random subset of units in the previous layer. We derive a bound on the generalization performance of both Dropout and DropConnect. We then evaluate DropConnect on a range of datasets, comparing to Dropout, and show state-of-the-art results on several image recognition benchmarks by aggregating multiple DropConnect-trained models.",Regularization of Neural Networks using DropConnect,DropConnect: A Generalization of Dropout for Regularizing Neural Networks,DropConnect: A Generalization of Dropout for Fully-Connected Neural Networks,DropConnect: Randomized Fully-Connected Networks
110,"We describe a synchronous parsing algorithm that is based on two successive monolingual parses of an input sentence pair. Although the worst-case complexity of this algorithm is and must be O(n) for binary SCFGs, its average-case run-time is far better. We demonstrate that for a number of common synchronous parsing problems, the two-parse algorithm substantially outperforms alternative synchronous parsing strategies, making it efficient enough to be utilized without resorting to a pruned search.",Two monolingual parses are better than one (synchronous parse),Efficient Synchronous Parsing with Two Monolingual Parses,Synchronous Parsing with Two Monolingual Parses,Synchronous Parsing with Monolingual Parsing
111,"We present a novel technique for semantic frame identification using distributed representations of predicates and their syntactic context; this technique leverages automatic syntactic parses and a generic set of word embeddings. Given labeled data annotated with frame-semantic parses, we learn a model that projects the set of word representations for the syntactic context around a predicate to a low dimensional representation. The latter is used for semantic frame identification; with a standard argument identification method inspired by prior work, we achieve state-ofthe-art results on FrameNet-style framesemantic analysis. Additionally, we report strong results on PropBank-style semantic role labeling in comparison to prior work.",Semantic Frame Identification with Distributed Word Representations,Semantic Frame Identification with Distributed Word Representations,Semantic Frame Identification Using Distributed Representations of Predicates and their Syntactic Context,Distributed Representations of Predicates and their Syntactic Context for Semantic Frame Identification
112,"This paper investigates contextual word representation models from the lens of similarity analysis. Given a collection of trained models, we measure the similarity of their internal representations and attention. Critically, these models come from vastly different architectures. We use existing and novel similarity measures that aim to gauge the level of localization of information in the deep models, and facilitate the investigation of which design factors affect model similarity, without requiring any external linguistic annotation. The analysis reveals that models within the same family are more similar to one another, as may be expected. Surprisingly, different architectures have rather similar representations, but different individual neurons. We also observed differences in information localization in lower and higher layers and found that higher layers are more affected by fine-tuning on downstream tasks.",Similarity Analysis of Contextual Word Representation Models,Similarity Analysis of Contextual Word Representation Models,Learning the Structure of Contextual Word Representations from Similarity Analysis,Learning Similarity in Contextual Word Representations
113,"Categorial grammar has traditionally used the λ-calculus to represent meaning. We present an alternative, dependency-based perspective on linguistic meaning and situate it in the computational setting. This perspective is formalized in terms of hybrid logic and has a rich yet perspicuous propositional ontology that enables a wide variety of semantic phenomena to be represented in a single meaning formalism. Finally, we show how we can couple this formalization to Combinatory Categorial Grammar to produce interpretations compositionally.",Coupling CCG and Hybrid Logic Dependency Semantics,Coupling CCG and Hybrid Logic Dependency Semantics,Computational Categorial Grammar and Hybrid Logic,Dependency-Based Categorial Grammar and Hybrid Logic
114,"Recently, work in NLP was initiated on a type of opinion inference that arises when opinions are expressed toward events which have positive or negative effects on entities (+/-effect events). This paper addresses methods for creating a lexicon of such events, to support such work on opinion inference. Due to significant sense ambiguity, our goal is to develop a sense-level rather than word-level lexicon. To maximize the effectiveness of different types of information, we combine a graph-based method using WordNet1 relations and a standard classifier using gloss information. A hybrid between the two gives the best results. Further, we provide evidence that the model is an effective way to guide manual annotation to find +/-effect senses that are not in the seed set.",+/-EffectWordNet: Sense-level Lexicon Acquisition for Opinion Inference,A Sense-Level Lexicon for Opinion Inference,A Lexicon of +/--Effect Events,A Lexicon of +/-Effect Events
115,"Subjectivity word sense disambiguation (SWSD) is automatically determining which word instances in a corpus are being used with subjective senses, and which are being used with objective senses. SWSD has been shown to improve the performance of contextual opinion analysis, but only on a small scale and using manually developed integration rules. In this paper, we scale up the integration of SWSD into contextual opinion analysis and still obtain improvements in performance, by successfully gathering data annotated by non-expert annotators. Further, by improving the method for integrating SWSD into contextual opinion analysis, even greater benefits from SWSD are achieved than in previous work. We thus more firmly demonstrate the potential of SWSD to improve contextual opinion analysis.",Improving the Impact of Subjectivity Word Sense Disambiguation on Contextual Opinion Analysis,Scaling up Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis,Scaling up Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis,Scaling up Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis
116,"Task-oriented dialog systems increasingly rely on deep learning-based slot filling models, usually needing extensive labeled training data for target domains. Often, however, little to no target domain training data may be available, or the training and target domain schemas may be misaligned, as is common for web forms on similar websites. Prior zero-shot slot filling models use slot descriptions to learn concepts, but are not robust to misaligned schemas. We propose utilizing both the slot description and a small number of examples of slot values, which may be easily available, to learn semantic representations of slots which are transferable across domains and robust to misaligned schemas. Our approach outperforms state-of-the-art models on two multi-domain datasets, especially in the low-data setting.",Robust Zero-Shot Cross-Domain Slot Filling with Example Values,Robust Zero-Shot Cross-Domain Slot Filling with Example Values,Learning Semantic Representations of Slot Values for Robust Slot Filling,Learning Transferable Semantic Representations for Robust Slot Filling in Task-Oriented Dialog Systems
117,"Word sense induction (WSI) seeks to automatically discover the senses of a word in a corpus via unsupervised methods. We propose a sense-topic model for WSI, which treats sense and topic as two separate latent variables to be inferred jointly. Topics are informed by the entire document, while senses are informed by the local context surrounding the ambiguous word. We also discuss unsupervised ways of enriching the original corpus in order to improve model performance, including using neural word embeddings and external corpora to expand the context of each data instance. We demonstrate significant improvements over the previous state-of-the-art, achieving the best results reported to date on the SemEval-2013 WSI task.",A Sense-Topic Model for Word Sense Induction with Unsupervised Data Enrichment,A Sense-Topic Model for Word Sense Induction with Unsupervised Data Enrichment,A Sense-Topic Model for Unsupervised Word Sense Induction,A Joint Latent Variable Model for Word Sense Induction
118,"Rumours on social media exhibit complex temporal patterns. This paper develops a model of rumour prevalence using a point process, namely a log-Gaussian Cox process, to infer an underlying continuous temporal probabilistic model of post frequencies. To generalize over different rumours, we present a multi-task learning method parametrized by the text in posts which allows data statistics to be shared between groups of similar rumours. Our experiments demonstrate that our model outperforms several strong baseline methods for rumour frequency prediction evaluated on tweets from the 2014 Ferguson riots.",Point Process Modelling of Rumour Dynamics in Social Media,A Probabilistic Model of rumour prevalence based on a Point Process,A Log-Gaussian Cox Process Model of Rumour Frequency on Social Media,Rumour Frequency Prediction on Social Media with Log-Gaussian Cox Processes
119,"We study agnostic active learning, where the goal is to learn a classifier in a prespecified hypothesis class interactively with as few label queries as possible, while making no assumptions on the true function generating the labels. The main algorithm for this problem is disagreement-based active learning, which has a high label requirement. Thus a major challenge is to find an algorithm which achieves better label complexity, is consistent in an agnostic setting, and applies to general classification problems. In this paper, we provide such an algorithm. Our solution is based on two novel contributions; first, a reduction from consistent active learning to confidence-rated prediction with guaranteed error, and second, a novel confidence-rated predictor.",Beyond Disagreement-Based Agnostic Active Learning,Beyond Disagreement-Based Agnostic Active Learning,Agnostic Active Learning with Confidence-rated Prediction,Agnostic Active Learning with Confidence-Ratified Prediction
120,"Deep reinforcement learning (RL) agents often fail to generalize to unseen environments (yet semantically similar to trained agents), particularly when they are trained on high-dimensional state spaces, such as images. In this paper, we propose a simple technique to improve a generalization ability of deep RL agents by introducing a randomized (convolutional) neural network that randomly perturbs input observations. It enables trained agents to adapt to new domains by learning robust features invariant across varied and randomized environments. Furthermore, we consider an inference method based on the Monte Carlo approximation to reduce the variance induced by this randomization. We demonstrate the superiority of our method across 2D CoinRun, 3D DeepMind Lab exploration and 3D robotics control tasks: it significantly outperforms various regularization and data augmentation methods for the same purpose. Code is available at github.com/pokaxpoka/netrand.",Network Randomization: A Simple Technique for Generalization in Deep Reinforcement Learning,Network Randomization: A Simple Technique for Generalization in Deep Reinforcement Learning,Randomized Neural Network for Deep Reinforcement Learning,Randomized Deep Reinforcement Learning
121,"In this paper, we improve an unsupervised learning method using the ExpectationMaximization (EM) algorithm proposed by Nigam et al. for text classification problems in order to apply it to word sense disambiguation (WSD) problems. The improved method stops the EM algorithm at the optimum iteration number. To estimate that number, we propose two methods. In experiments, we solved 50 noun WSD problems in the Japanese Dictionary Task in SENSEVAL2. The score of our method is a match for the best public score of this task. Furthermore, our methods were confirmed to be effective also for verb WSD problems.",Unsupervised learning of word sense disambiguation rules by estimating an optimum iteration number in the EM algorithm,Unsupervised Word Sense Disambiguation Using Expectation Maximization Algorithm,Improved EM Algorithm for Word Sense Disambiguation,Improved EM for Word Sense Disambiguation
122,"Machine learning promises methods that generalize well from finite labeled data. However, the brittleness of existing neural net approaches is revealed by notable failures, such as the existence of adversarial examples that are misclassified despite being nearly identical to a training example, or the inability of recurrent sequence-processing nets to stay on track without teacher forcing. We introduce a method, which we refer to as state reification, that involves modeling the distribution of hidden states over the training data and then projecting hidden states observed during testing toward this distribution. Our intuition is that if the network can remain in a familiar manifold of hidden space, subsequent layers of the net should be well trained to respond appropriately. We show that this state-reification method helps neural nets to generalize better, especially when labeled data are sparse, and also helps overcome the challenge of achieving robust generalization with adversarial training.",State-Reification Networks: Improving Generalization by Modeling the Distribution of Hidden Representations,State-Reification Networks: Improving Generalization by Modeling the Distribution of Hidden Representations,State Reification for Robust Generalization in Neural Nets,State Reification for Robust Generalization in Sparse Data
