,abstract,human_title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
128,"We describe a new algorithm for computing a Nash equilibrium in graphical games, a compact representation for multi-agent systems that we introduced in previous work. The algorithm is the first to compute equilibria both efficiently and exactly for a non-trivial class of graphical games.","An Efficient, Exact Algorithm for Solving Tree-Structured Graphical Games",,Nash Equilibria in Multi-Agent Systems: A Nash Equilibrium Algorithm for Graphical Games and Applications to Multi,Efficient Nash Equilibria for Multi-Agent Games,A Compact Algorithm for Computing Nash Equilibria in Graphical Games, Computing Equilibria in Graphical Games with Compact Representations,Computing Nash Equilibria in Multi-Agent Games
129,"We investigate a new optimization problem involving minimizing the Ratio of two Submodular (RS) functions. We argue that this problem occurs naturally in several real world applications. We then show the connection between this problem and several related problems including minimizing the difference between submodular functions (Iyer & Bilmes, 2012b; Narasimhan & Bilmes, 2005), and to submodular optimization subject to submodular constraints (Iyer & Bilmes, 2013). We show that RS optimization can be solved with bounded approximation factors. We also provide a hardness bound and show that our tightest algorithm matches the lower bound up to a log factor. Finally, we empirically demonstrate the performance and good scalability properties of our algorithms.",Algorithms for Optimizing the Ratio of Submodular Functions,Submodular Ratio Minimization via Bounded Approximation,Tight Bounds for Minimizing Ratio of Two Submodular Functions: Tightness Bounds and Scalable Algorith,Minimizing the Ratio of Two Submodular Functions,, Submodular Optimization with Bounded Approximation,Bridging the Gap Between Submodular Functions: A New Problem and Algorithms
130,"This paper presents a first-order logic learning approach to determine rhetorical relations between discourse segments. Beyond linguistic cues and lexical information, our approach exploits compositional semantics and segment discourse structure data. We report a statistically significant improvement in classifying relations over attribute-value learning paradigms such as Decision Trees, RIPPER and Naive Bayes. For discourse parsing, our modified shift-reduce parsing model that uses our relation classifier significantly outperforms a right-branching majority-class baseline.",An effective Discourse Parser that uses Rich Linguistic Information,Exploiting Compositional Semantics and Discourse Structure Data for Rhetorical Relations,A Logic Learning Approach to Determine Rhetorical Relations between Discourse Segments with Compositional Semantics and Discourse Structure,First-Order Logic Learning for Discourse Relation Classification,First-Order Logical Learning for Rhetorical Relation Classification, Modeling Discourse Structure with Compositional Semantics,
131,"Website privacy policies represent the single most important source of information for users to gauge how their personal data are collected, used and shared by companies. However, privacy policies are often vague and people struggle to understand the content. Their opaqueness poses a significant challenge to both users and policy regulators. In this paper, we seek to identify vague content in privacy policies. We construct the first corpus of human-annotated vague words and sentences and present empirical studies on automatic vagueness detection. In particular, we investigate context-aware and context-agnostic models for predicting vague words, and explore auxiliary-classifier generative adversarial networks for characterizing sentence vagueness. Our experimental results demonstrate the effectiveness of proposed approaches. Finally, we provide suggestions for resolving vagueness and improving the usability of privacy policies.",Automatic Detection of Vague Words and Sentences in Privacy Policies,Identifying Inconsistently Grown Words and Sentences in Privacy Policies,Identifying vague content in private policies for detecting vague words and sentences using auxiliary-classifier generative adversarial networks.,,Context-Aware and Context-Agnostic Models for Detecting Vague Content in Privacy Policies, Identifying Discrete Words and Sentences in Privacy Policies,Detecting and Improving the User Experience of Privacy Policies
132,"We study a novel architecture for syntactic SMT. In contrast to the dominant approach in the literature, the system does not rely on translation rules, but treat translation as an unconstrained target sentence generation task, using soft features to capture lexical and syntactic correspondences between the source and target languages. Target syntax features and bilingual translation features are trained consistently in a discriminative model. Experiments using the IWSLT 2010 dataset show that the system achieves BLEU comparable to the state-of-the-art syntactic SMT systems.",Syntactic SMT Using a Discriminative Text Generation Model,A Discriminative Target Sentence Generation System for Syntactic Statistical Machine Translation,A Novel Architecture for Syntactic Machine Translation with BLEU-based Syntax Features and Bilingual Translation Features from IW,Syntactic SMT with Bilingual Translation Features,, Syntactic Syntactic SMT with Soft Features,Syntactic Machine Translation with Soft Syntax Features
133,"Distant supervision usually utilizes only unlabeled data and existing knowledge bases to learn relation extraction models. However, in some cases a small amount of human labeled data is available. In this paper, we demonstrate how a state-of-theart multi-instance multi-label model can be modified to make use of these reliable sentence-level labels in addition to the relation-level distant supervision from a database. Experiments show that our approach achieves a statistically significant increase of 13.5% in F-score and 37% in area under the precision recall curve.",Infusion of Labeled Data into Distant Supervision for Relation Extraction,Relation-Level Distant Supervision with Relation Extraction Models,Multi-Instance Distant Supervision for Relation Extraction with Application to Sentence-Level Relation Level Relation Classification,Learning Relation Extraction from Distant Supervision with Multi-Instance Multi-label Models,Multi-Instance Multi-Label Models for Distant Supervision, Improving Distant Supervision for Relation Extraction,
134,"Information Gain is a well-known and empirically proven method for high-dimensional feature selection. We found that it and other existing methods failed to produce good results on an industrial text classification problem. On investigating the root cause, we find that a large class of feature scoring methods suffers a pitfall: they can be blinded by a surplus of strongly predictive features for some classes, while largely ignoring features needed to discriminate difficult classes. In this paper we demonstrate this pitfall hurts performance even for a relatively uniform text classification task. Based on this understanding, we present solutions inspired by round-robin scheduling that avoid this pitfall, without resorting to costly wrapper methods. Empirical evaluation on 19 datasets shows substantial improvements.",A Pitfall and Solution in Multi-Class Feature Selection for Text Classification ,Applying Round-robin Scheduling to Information Gain for Text Classification,Information Gain: High-dimensional feature selection for text classification using round-robin Scheduling and Pitfall Problem Solving Problems,Round-robin Scheduling for High-Dimensional Feature Selection in Text Classification,Round-robin Scheduling for High-dimensional Feature Selection, A Pitfall-Free Approach to Feature Selection for Text Classification,
135,"Knowledge bases are useful resources for many natural language processing tasks, however, they are far from complete. In this paper, we define a novel entity representation as a mixture of its neighborhood in the knowledge base and apply this technique on TransE—a well-known embedding model for knowledge base completion. Experimental results show that the neighborhood information significantly helps to improve the results of the TransE, leading to better performance than obtained by other state-of-the-art embedding models on three benchmark datasets for triple classification, entity prediction and relation prediction tasks.",Neighborhood Mixture Model for Knowledge Base Completion,,Neighborhood Representations for Knowledge Base Completion: A Mixture of Its Neighborhood in the Knowledge Base and TransE Model,Neighborhood Information Improves TransE: A Knowledge Base Completion Model,TransE: Embedding Neighborhoods for Knowledge Base completion, Entity Representations for Knowledge Base Completion,A Novel Entity Representation as a mixture of its neighborhood in knowledge base
136,"Interacting with relational databases through natural language helps users with any background easily query and analyze a vast amount of data. This requires a system that understands users' questions and converts them to SQL queries automatically. In this paper, we present a novel approach TypeSQL which formats the problem as a slot filling task in a more reasonable way. In addition, TypeSQL utilizes type information to better understand rare entities and numbers in the questions. We experiment this idea on the WikiSQL dataset and outperform the prior art by 6% in much shorter time. We also show that accessing the content of databases can significantly improve the performance when users' queries are not well-formed. TypeSQL can reach 82.6% accuracy, a 17.5% absolute improvement compared to the previous content-sensitive model.",TypeSQL: Knowledge-Based Type-Aware Neural Text-to-SQL Generation,TypeSQL: A Slot Filling Approach to Interacting with Relational Databases,TypeSQL: Slot Filling for Relational Database Query Retrieval via Schema Type-SQL Formalization and Information,,TypeSQL: A Slot Filling Approach to Interacting with Relational Databases, TypeSQL: A Slot Filling Approach for Relational Databases,Type Interact: Learning to Interact with Natural Language via Slot Filling and Type Information
137,"Constituent parsing is typically modeled by a chart-based algorithm under probabilistic context-free grammars or by a transition-based algorithm with rich features. Previous models rely heavily on richer syntactic information through lexicalizing rules, splitting categories, or memorizing long histories. However enriched models incur numerous parameters and sparsity issues, and are insufficient for capturing various syntactic phenomena. We propose a neural network structure that explicitly models the unbounded history of actions performed on the stack and queue employed in transition-based parsing, in addition to the representations of partially parsed tree structure. Our transition-based neural constituent parsing achieves performance comparable to the state-of-the-art parsers, demonstrating F1 score of 90.68% for English and 84.33% for Chinese, without reranking, feature templates or additional data to train model parameters.",Transition-based Neural Constituent Parsing,Transition-Based Neural Constituent Parsing with Neural Network Structure,Transition-based Neural Constituent Parsing with Rich Syntactic Structures and Memory of Long Heterosyllabic,,Transition-based Constituent Parsing with Neural Networks, Neural Constituent Parsing with Rich Syntactic Features,Transition-based Neural Constituent Parsing with Stack and Queue
138,"Distributed stochastic gradient descent is an important subroutine in distributed learning. A setting of particular interest is when the clients are mobile devices, where two important concerns are communication efficiency and the privacy of the clients. Several recent works have focused on reducing the communication cost or introducing privacy guarantees, but none of the proposed communication efficient methods are known to be privacy preserving and none of the known privacy mechanisms are known to be communication efficient. To this end, we study algorithms that achieve both communication efficiency and differential privacy. For d variables and n ⇡ d clients, the proposed method uses O(log log(nd)) bits of communication per client per coordinate and ensures constant privacy. We also improve previous analysis of the Binomial mechanism showing that it achieves nearly the same utility as the Gaussian mechanism, while requiring fewer representation bits, which can be of independent interest.",cpSGD: Communication-efficient and differentially-private distributed SGD,Communication Efficiency and Differential Privacy for Distributed Stochastic Gradient Descent,Communication Efficiency and Differential Privacy in Distributed Stochastic Gradient Descent using O(log Log(nd)),Communication Efficient Distributed Stochastic Gradient Descent for Mobile Devices,Communication Efficiency and Differential Privacy in Distributed Learning., Communication Efficient Distributed Gradient Descent,
139,"At AAAI’07, Zinkevich, Bowling and Burch introduced the Range of Skill measure of a two-player game and used it as a parameter in the analysis of the running time of an algorithm for finding approximate solutions to such games. They suggested that the Range of Skill of a typical natural game is a small number, but only gave heuristic arguments for this. In this paper, we provide the first methods for rigorously estimating the Range of Skill of a given game. We provide some general, asymptotic bounds that imply that the Range of Skill of a perfectly balanced game tree is almost exponential in its size (and doubly exponential in its depth). We also provide techniques that yield concrete bounds for unbalanced game trees and apply these to estimate the Range of Skill of Tic-Tac-Toe and Heads-Up Limit Texas Hold’em Poker. In particular, we show that the Range of Skill of Tic-Tac-Toe is more than 100,000.",On Range of Skill,Estimating the Range of Skill of a Natural Game Tree,Estimating the Range of Skill in a Competitive Two-Player Game: Some Asymptotic Bounds and General Asym,Estimating the Range of Skill of a Natural Game,, Estimating the Range of Skill of a Two-Player Game,On the Range of Skill of Natural Games
140,"Leveraging user-provided translation to constrain NMT has practical significance. Existing methods can be classified into two main categories, namely the use of placeholder tags for lexicon words and the use of hard constraints during decoding. Both methods can hurt translation fidelity for various reasons. We investigate a data augmentation method, making code-switched training data by replacing source phrases with their target translations. Our method does not change the MNT model or decoding algorithm, allowing the model to learn lexicon translations by copying source-side target words. Extensive experiments show that our method achieves consistent improvements over existing approaches, improving translation of constrained words without hurting unconstrained words.",Code-Switching for Enhancing NMT with Pre-Specified Translation,,Data Augmentation for Neural Machine Translation with Hard Lexicon Constraints and Source-side Target Words Using Code-Switched,Improving Neural Machine Translation with Source-side Data Augmentation,Leveraging User-provided Translation to Constrained Neural Words,Data Augmentation for Constrained NMT,Data Augmentation for Constraint-Free Translation of Lexicon Words
141,This paper presents three hybrid models that directly combine latent Dirichlet allocation and word embedding for distinguishing between speakers with and without Alzheimer's disease from transcripts of picture descriptions. Two of our models get F-scores over the current state-of-the-art using automatic methods on the DementiaBank dataset.,Augmenting word2vec with latent Dirichlet allocation within a clinical application,Latent Dirichlet Allocation and Word Embedding for Detecting Alzheimer's Disease from Transcripts of Descriptions,,Hybrid Word Embeddings and Latent Dirichlet Allocation for Alzheimer's Disease Detection,Combining Latent Dirichlet allocation and word embedding for distinguishing speakers with and without Alzheimer's disease,Combining Latent Dirichlet Allocation and Word Embedding for Detecting Alzheimer's,Latent Dirichlet Allocation and Word Embedding for Alzheimer's Disease Recognition
142,Binarization of grammars is crucial for improving the complexity and performance of parsing and translation. We present a versatile binarization algorithm that can be tailored to a number of grammar formalisms by simply varying a formal parameter. We apply our algorithm to binarizing tree-to-string transducers used in syntax-based machine translation.,General binarization for parsing and translation,Binarization of Grammars for Syntax-Based Machine Translation,Binarization of Grammars for Statistical Machine Translation using Tree-to-String Transducers and its Application to Binar,A Versatile Algorithm for Binarizing Tree-to-String Transducers,Binarization of Grammatical Formalisms,,A Versatile Binarization Algorithm for Parsing and Machine Translation
143,"Distant-supervised relation extraction inevitably suffers from wrong labeling problems because it heuristically labels relational facts with knowledge bases. Previous sentence level denoise models don't achieve satisfying performances because they use hard labels which are determined by distant supervision and immutable during training. To this end, we introduce an entity-pair level denoise method which exploits semantic information from correctly labeled entity pairs to correct wrong labels dynamically during training. We propose a joint score function which combines the relational scores based on the entity-pair representation and the confidence of the hard label to obtain a new label, namely a soft label, for certain entity pair. During training, soft labels instead of hard labels serve as gold labels. Experiments on the benchmark dataset show that our method dramatically reduces noisy instances and outperforms other state-of-the-art systems.",A Soft-label Method for Noise-tolerant Distantly Supervised Relation Extraction,Entity-Pair Level Denoise for Distant-Supervised Relation Extraction,Entity-Pair Level Denoise for Distant-Supervised Relation Extraction with Soft Label Combination and Joint Score Function,,Entity-Pair Level Denoise for Distant-Supervised Relation Extraction,Entity-pair Level Denoising for Relation Extraction,Entity-Pair Level Denoise for Distant Relation Extraction
144,"We show that it is feasible to perform entity linking by training a dual encoder (two-tower) model that encodes mentions and entities in the same dense vector space, where candidate entities are retrieved by approximate nearest neighbor search. Unlike prior work, this setup does not rely on an alias table followed by a re-ranker, and is thus the first fully learned entity retrieval model. We show that our dual encoder, trained using only anchor-text links in Wikipedia, outperforms discrete alias table and BM25 baselines, and is competitive with the best comparable results on the standard TACKBP-2010 dataset. In addition, it can retrieve candidates extremely fast, and generalizes well to a new dataset derived from Wikinews. On the modeling side, we demonstrate the dramatic value of an unsupervised negative mining algorithm for this task.",Learning Dense Representations for Entity Retrieval,,Dual Encoders for Entity Linking in Dense Two-Towered Datasets: An Unsupervised Negative Mining,Entity Linking via Dual Encoding and Zero-Rank Re-ranking,Learning Entity Linking with Dual Encoders,Unsupervised Entity Linking via Dual Encoders,Entity Linking with a Dual Parser
145,"Are word-level affect lexicons useful in detecting emotions at sentence level? Some prior research finds no gain over and above what is obtained with ngram features—arguably the most widely used features in text classification. Here, we experiment with two very different emotion lexicons and show that even in supervised settings, an affect lexicon can provide significant gains. We further show that while ngram features tend to be accurate, they are often unsuitable for use in new domains. On the other hand, affect lexicon features tend to generalize and produce better results than ngrams when applied to a new domain.",Portable Features for Classifying Emotional Text,Are Affect Lexicons Useful for Sentence Level Emotion Detection?,Are Word-Level Affect Lexicons Useful in Detecting Emotional Sentences at Sentence Level? A Case Study on Text Classification,Are Affect Lexicons useful for detecting emotions at sentence level?,Affect Lexicons for Word-Level Emotions Detection,,Are Word-Level Affect Lexicons Useful for Detecting Emotions in Text?
146,"Relation extraction suffers from a performance loss when a model is applied to out-of-domain data. This has fostered the development of domain adaptation techniques for relation extraction. This paper evaluates word embeddings and clustering on adapting feature-based relation extraction systems. We systematically explore various ways to apply word embeddings and show the best adaptation improvement by combining word cluster and word embedding information. Finally, we demonstrate the effectiveness of regularization for the adaptability of relation extractors.",Employing Word Representations and Regularization for Domain Adaptation of Relation Extraction,Domain Adaptation for Relation Extraction Using Word Embeddings and Word Clustering,,Domain Adaptation of Feature-based Relation Extraction with Word Embeddings and Clustering,Word Embeddings and Clustering for Relative Extraction,Adapting Word Embeddings and Clustering for Out-of-Domain Relation Extraction,Adapting Feature-Based Relation Extraction Systems with Word Embeddings and Clustering
147,"Many natural language processing applications use language models to generate text. These models are typically trained to predict the next word in a sequence, given the previous words and some context such as an image. However, at test time the model is expected to generate the entire sequence from scratch. This discrepancy makes generation brittle, as errors may accumulate along the way. We address this issue by proposing a novel sequence level training algorithm that directly optimizes the metric used at test time, such as BLEU or ROUGE. On three different tasks, our approach outperforms several strong baselines for greedy generation. The method is also competitive when these baselines employ beam search, while being several times faster.",Sequence Level Training with Recurrent Neural Networks,Sequence Level Training for Greedy Generation of Text,Towards a Sequence Level Training Algorithm for Greedy Generation of Natural Language Texts using Beam Search and BLEU,A Sequence Level Training Algorithm for Greedy Text Generation,,Sequence Level Training for Natural Language Generation,Sequence Level Training for Generative Adversarial Learning
148,"In multi-task learning (MTL), multiple tasks are learnt jointly. A major assumption for this paradigm is that all those tasks are indeed related so that the joint training is appropriate and beneficial. In this paper, we study the problem of multi-task learning of shared feature representations among tasks, while simultaneously determining “with whom” each task should share. We formulate the problem as a mixed integer programming and provide an alternating minimization technique to solve the optimization problem of jointly identifying grouping structures and parameters. The algorithm monotonically decreases the objective function and converges to a local optimum. Compared to the standard MTL paradigm where all tasks are in a single group, our algorithm improves its performance with statistical significance for three out of the four datasets we have studied. We also demonstrate its advantage over other task grouping techniques investigated in literature.",Learning with Whom to Share in Multi-task Feature Learning.,Multi-Task Learning of Shared Feature Representations with Alternating Minimization,Multi-task Learning of Shared Feature Representations among Tasks: A Mixed Integer Programming Algorithm and Alternating Minimization,Mixed Integer Programming for Joint Multi-Task Learning of Shared Feature Representations,Joint Multi-Task Learning of Shared Feature Representations,Multi-Task Learning of Shared Feature Representations,
149,"We propose sparsemax, a new activation function similar to the traditional softmax, but able to output sparse probabilities. After deriving its properties, we show how its Jacobian can be efficiently computed, enabling its use in a network trained with backpropagation. Then, we propose a new smooth and convex loss function which is the sparsemax analogue of the logistic loss. We reveal an unexpected connection between this new loss and the Huber classification loss. We obtain promising empirical results in multi-label classification problems and in attention-based neural networks for natural language inference. For the latter, we achieve a similar performance as the traditional softmax, but with a selective, more compact, attention focus.",From Softmax to Sparsemax: A Sparse Model of Attention and Multi-Label Classification,,Sparsemax: Sparsemax for Natural Language Inference with Jacobian and Attention-based Neural Networks in Backpropag,Sparsemax: Sparse activation with smooth and convex loss.,Sparsemax: A Segmentation Function for Multi-Label Classification,SparseMax: A Sparse Activation Function for Neural Networks,Sparsemax and Smoothed Convex Loss for Neural Networks
150,"We present a novel transition system for dependency parsing, which constructs arcs only between adjacent words but can parse arbitrary non-projective trees by swapping the order of words in the input. Adding the swapping operation changes the time complexity for deterministic parsing from linear to quadratic in the worst case, but empirical estimates based on treebank data show that the expected running time is in fact linear for the range of data attested in the corpora. Evaluation on data from five languages shows state-of-the-art accuracy, with especially good results for the labeled",Non-Projective Dependency Parsing in Expected Linear Time,A Transition System for Dependency Parsing with Treebanks,,A Transition System for Dependency Parsing with Order Swapping,A Transition System for Dependency Parsing with arcs,A Transition System for Dependency Parsing,A Transition System for Dependency Parsing with Word Swapping
151,"This paper provides a binary, token-based classification of German particle verbs (PVs) into literal vs. non-literal usage. A random forest improving standard features (e.g., bagof-words; affective ratings) with PV-specific information and abstraction over common nouns significantly outperforms the majority baseline. In addition, PV-specific classification experiments demonstrate the role of shared particle semantics and semantically related base verbs in PV meaning shifts.",Distinguishing Literal and Non-Literal Usage of German Particle Verbs,Token-Based Classification of German Particle Verbs,A Random Forest-based Classification of Particle Verbs into Literal vs. Non-literal Usage: An Application to,,"Binary, token-based Classification of German Particle Verbs into Literal vs. Non-literal Use",A Binary Classification of German Particle Verbs,A Random Forest Approach to German Particle Verb Classification
152,"We demonstrate that current state-of-the-art approaches to Automated Essay Scoring (AES) are not well-suited to capturing adversarially crafted input of grammatical but incoherent sequences of sentences. We develop a neural model of local coherence that can effectively learn connectedness features between sentences, and propose a framework for integrating and jointly training the local coherence model with a state-of-the-art AES model. We evaluate our approach against a number of baselines and experimentally demonstrate its effectiveness on both the AES task and the task of flagging adversarial input, further contributing to the development of an approach that strengthens the validity of neural essay scoring models.",Neural Automated Essay Scoring and Coherence Modeling for Adversarially Crafted Input,Learning Local Coherence for Automated Essay Scoring,Neural Coherence Modeling for Automated Essay Scoring: A Case Study on Text-Driven Neural Essay,,Local Coherence Models for Automated Essay Scoring.,Neural Essay Scoring with Local Coherence,A Neural Local Coherence Model for Automated Essay Scoring
153,"Existing timeline generation systems for complex events consider only information from traditional media, ignoring the rich social context provided by user-generated content that reveals representative public interests or insightful opinions. We instead aim to generate socially-informed timelines that contain both news article summaries and selected user comments. We present an optimization framework designed to balance topical cohesion between the article and comment summaries along with their informativeness and coverage of the event. Automatic evaluations on real-world datasets that cover four complex events show that our system produces more informative timelines than state-of-theart systems. In human evaluation, the associated comment summaries are furthermore rated more insightful than editor’s picks and comments ranked highly by users.",Socially-Informed Timeline Generation for Complex Events,Social Timeline Generation with News Article Summaries and Comments,Generating Social-Informed Timelines for Complex Events: An Optimization Framework for News Article Summarization and Comment Sum,Generating Social-Informed Timeline Generation for Complex Events with Article Summaries and User Comments,,Generating Social-Informed Timelines for Complex Events,Generation of Socially-Informed Timelines for Complex Events
154,"Recent work raises concerns about the use of standard splits to compare natural language processing models. We propose a Bayesian statistical model comparison technique which uses k-fold cross-validation across multiple data sets to estimate the likelihood that one model will outperform the other, or that the two will produce practically equivalent results. We use this technique to rank six English part-of-speech taggers across two data sets and three evaluation metrics.",Is the Best Better? Bayesian Statistical Model Comparison for Natural Language Processing,K-fold Cross-Validation for Bayesian Part-of-Speech Tagging,Bayesian statistical model comparison for part-of-speech taggers using k-folding cross-validation and cross-,,A Bayesian Analysis of Part-of-Speech Tagger,Bayesian Statistical Model Comparison Using Cross-Validation,Bayesian Statistical Model Comparison for Part-of-Speech Tagging
155,"Modelling compositional meaning for sentences using empirical distributional methods has been a challenge for computational linguists. We implement the abstract categorical model of Coecke et al. (2010) using data from the BNC and evaluate it. The implementation is based on unsupervised learning of matrices for relational words and applying them to the vectors of their arguments. The evaluation is based on the word disambiguation task developed by Mitchell and Lapata (2008) for intransitive sentences, and on a similar new experiment designed for transitive sentences. Our model matches the results of its competitors in the first experiment, and betters them in the second. The general improvement in results with increase in syntactic complexity showcases the compositional power of our model.",Experimental Support for a Categorical Compositional Distributional Model of Meaning,An Abstract Categorical Model for Compositional Meaning of Sentences,,Modelling Compositional Meaning for Sentences Using Unsupervised Learning of Word Matrices,Compositional Meaning for Intransitive Sentences with Empirical Distributional Methods,Abstract Categorical Modeling of Compositional Meaning,Modelling Compositional Meaning for Sentences with Unsupervised Learning of Words
156,"In this paper, we present a Chinese event extraction system. We point out a language specific issue in Chinese trigger labeling, and then commit to discussing the contributions of lexical, syntactic and semantic features applied in trigger labeling and argument labeling. As a result, we achieved competitive performance, specifically, F-measure of 59.9 in trigger labeling and F-measure of 43.8 in argument labeling.",Language Specific Issue and Feature Exploration in Chinese Event Extraction,"Chinese Event Extraction Using Lexical, Syntactic and Semantic Features",Chinese Event Extraction Using Language Specific Issues in Trigger Labeling and Argument Labeling: An Empirical Study of Chinese Trigger,"A Chinese Event Extraction System with Lexical, Syntactic and Semantic Features",Chinese Event Extraction System for Chinese Trigger Labeling,"Chinese Event Extraction with Lexical, Syntactic and Semantic Features",
157,"We formulate the novel task of automatically updating an existing natural language comment based on changes in the body of code it accompanies. We propose an approach that learns to correlate changes across two distinct language representations, to generate a sequence of edits that are applied to the existing comment to reflect the source code modifications. We train and evaluate our model using a dataset that we collected from commit histories of open-source software projects, with each example consisting of a concurrent update to a method and its corresponding comment. We compare our approach against multiple baselines using both automatic metrics and human evaluation. Results reflect the challenge of this task and that our model outperforms baselines with respect to making edits.",Learning to Update Natural Language Comments Based on Code Changes,Automatic Update of an existing Comment Based on Changes in the Body of Code,Learning to Correlate Language Representations for Automatic Comment Retrieval of Natural Language Comments in Open-Source Software Projections,Automatic Comment Update Based on Source Code Changes,,Automatic Update of Natural Language Commentaries,Automatic Updates to Existing Natural Language Systems
158,"Although users’ preference is semantically reflected in the free-form review texts, this wealth of information was not fully exploited for learning recommender models. Specifically, almost all existing recommendation algorithms only exploit rating scores in order to find users’ preference, but ignore the review texts accompanied with rating information. In this paper, we propose a novel matrix factorization model (called TopicMF) which simultaneously considers the ratings and accompanied review texts. Experimental results on 22 real-world datasets show the superiority of our model over the state-of-the-art models, demonstrating its effectiveness for recommendation tasks.",TopicMF: Simultaneously Exploiting Ratings and Reviews for Recommendation,TopicMF: A Matrix Factorization Model for Recommendation in Review Texts,TopicMF: A Topic Factorization Model for Recommendation in Free-Form Review Texts with High-Rank Ratings and Att,TopicMF: A Matrix Factorization Model for Learning Recommender Models from Free-Form Reviews,TopicMF: A Matrix Factorization Model for Free-form Review Texts,,TopicMF: A Novel Matrix Factorization Model for Recommendation Texts
159,"We consider the multi-agent reinforcement learning setting with imperfect information. The reward function depends on the hidden goals of both agents, so the agents must infer the other players’ goals from their observed behavior in order to maximize their returns. We propose a new approach for learning in these domains: Self Other-Modeling (SOM), in which an agent uses its own policy to predict the other agent’s actions and update its belief of their hidden goal in an online manner. We evaluate this approach on three different tasks and show that the agents are able to learn better policies using their estimate of the other players’ goals, in both cooperative and competitive settings.",Modeling Others using Oneself in Multi-Agent Reinforcement Learning,Self Other-Modeling for Multi-Agent Reinforcement Learning with Imperfect Information,Self Other-Modeling for Multi-Agent Reinforcement Learning with Imperfect Information: Self-Predicting Hidden Goal Actions,,Self Other-Modeling for Multi-Agent reinforcement learning with imperfect information,Self Other-Modeling for Multi-Agent Reinforcement Learning,Self- Other-Modeling for Multi-Agent Reinforcement Learning with Imperfect Information
160,"Previous work introduced transition-based algorithms to form a unified architecture of parsing rhetorical structures (including span, nuclearity and relation), but did not achieve satisfactory performance. In this paper, we propose that transition-based model is more appropriate for parsing the naked discourse tree (i.e., identifying span and nuclearity) due to data sparsity. At the same time, we argue that relation labeling can benefit from naked tree structure and should be treated elaborately with consideration of three kinds of relations including within-sentence, across-sentence and across-paragraph relations. Thus, we design a pipelined two-stage parsing method for generating an RST tree from text. Experimental results show that our method achieves state-of-the-art performance, especially on span and nuclearity identification.",A Two-Stage Parsing Method for Text-Level Discourse Analysis,Pipelined Two-Stage Parsing of Named Discourse Trees,"Transition-based RST Parsing for Span, Nuclearity and Relation Labeling with Nondescourse Tree Structure",Pipeline-based Parsing of Discourse Trees for RST and Relation Labeling,Transition-Based Parsing of Null Discourse Trees,Transition-based Parsing of Discourse Trees,
161,"The weak equivalence of Combinatory Categorial Grammar (CCG) and Tree-Adjoining Grammar (TAG) is a central result of the literature on mildly context-sensitive grammar formalisms. However, the categorial formalism for which this equivalence has been established differs significantly from the versions of CCG that are in use today. In particular, it allows restriction of combinatory rules on a per grammar basis, whereas modern CCG assumes a universal set of rules, isolating all cross-linguistic variation in the lexicon. In this article we investigate the formal significance of this difference. Our main result is that lexicalized versions of the classical CCG formalism are strictly less powerful than TAG.",Lexicalization and Generative Power in CCG,,The Weak Equivalence of Combinatory Categorial Grammar and Tree-Adjoining Grammar: An Empirical,Combinatory Categorial Grammar and Tree-Adjoining Grammar: A Weak Equivalence but an Empir,Combinatory Categorial Grammar and Tree-Adjoining Grammar,Weak Equivalence of CCG and Tree-Adjoining Grammar,Lexicalized versions of the classic CCG formalism are less powerful than TAG
162,"This paper introduces a model of multipleinstance learning applied to the prediction of aspect ratings or judgments of specific properties of an item from usercontributed texts such as product reviews. Each variable-length text is represented by several independent feature vectors; one word vector per sentence or paragraph. For learning from texts with known aspect ratings, the model performs multipleinstance regression (MIR) and assigns importance weights to each of the sentences or paragraphs of a text, uncovering their contribution to the aspect ratings. Next, the model is used to predict aspect ratings in previously unseen texts, demonstrating interpretability and explanatory power for its predictions. We evaluate the model on seven multi-aspect sentiment analysis data sets, improving over four MIR baselines and two strong bag-of-words linear models, namely SVR and Lasso, by more than 10% relative in terms of MSE.",Explaining the Stars: Weighted Multiple-Instance Learning for Aspect-Based Sentiment Analysis,MultipleInstance Learning for Aspect Rating Prediction from Texts with Known Aspects,MultipleInstance Regression for Aspect Ratings and Their Impact on Sentiment Analysis from Texts with Weercontributed Multiple-,Multiple-Instance Learning for Predicting Aspect Ratings from Texts,,Multiple Instance Regression for Aspect Rating Prediction,MultipleInstance Learning for Predicting Aspect Ratings from User-contributed Texts
